Country,Year,Crop,Area,Production,Yield,Rainfall_mm,Temperature_C,Pesticide_Use
Argentina,1991,Maize,40444,591.0,17.64,591.0,17.64,26156.0
Argentina,1991,Maize,40444,591.0,17.64,591.0,17.86,26156.0
Argentina,1991,Maize,40444,591.0,17.86,591.0,17.64,26156.0
Argentina,1991,Maize,40444,591.0,17.86,591.0,17.86,26156.0
Argentina,1992,Maize,45237,591.0,17.09,591.0,17.09,26156.0
Argentina,1992,Maize,45237,591.0,17.09,591.0,17.51,26156.0
Argentina,1992,Maize,45237,591.0,17.51,591.0,17.09,26156.0
Argentina,1992,Maize,45237,591.0,17.51,591.0,17.51,26156.0
Argentina,1993,Maize,43552,591.0,17.32,591.0,17.32,26156.0
Argentina,1993,Maize,43552,591.0,17.32,591.0,17.53,26156.0
Argentina,1993,Maize,43552,591.0,17.53,591.0,17.32,26156.0
Argentina,1993,Maize,43552,591.0,17.53,591.0,17.53,26156.0
Argentina,1994,Maize,42371,591.0,18.17,591.0,18.17,30195.0
Argentina,1994,Maize,42371,591.0,18.17,591.0,18.31,30195.0
Argentina,1994,Maize,42371,591.0,18.31,591.0,18.17,30195.0
Argentina,1994,Maize,42371,591.0,18.31,591.0,18.31,30195.0
Argentina,1995,Maize,45223,591.0,17.74,591.0,17.74,37842.0
Argentina,1995,Maize,45223,591.0,17.74,591.0,17.62,37842.0
Argentina,1995,Maize,45223,591.0,17.62,591.0,17.74,37842.0
Argentina,1995,Maize,45223,591.0,17.62,591.0,17.62,37842.0
Argentina,1996,Maize,40397,591.0,17.64,591.0,17.64,54595.0
Argentina,1996,Maize,40397,591.0,17.64,591.0,17.97,54595.0
Argentina,1996,Maize,40397,591.0,17.97,591.0,17.64,54595.0
Argentina,1996,Maize,40397,591.0,17.97,591.0,17.97,54595.0
Argentina,1997,Maize,45557,591.0,18.29,591.0,18.29,77691.0
Argentina,1997,Maize,45557,591.0,18.29,591.0,18.54,77691.0
Argentina,1997,Maize,45557,591.0,18.54,591.0,18.29,77691.0
Argentina,1997,Maize,45557,591.0,18.54,591.0,18.54,77691.0
Argentina,1998,Maize,60780,591.0,17.23,591.0,17.23,62397.0
Argentina,1998,Maize,60780,591.0,17.23,591.0,17.52,62397.0
Argentina,1998,Maize,60780,591.0,17.52,591.0,17.23,62397.0
Argentina,1998,Maize,60780,591.0,17.52,591.0,17.52,62397.0
Argentina,1999,Maize,53702,591.0,17.15,591.0,17.15,62831.39
Argentina,1999,Maize,53702,591.0,17.15,591.0,17.71,62831.39
Argentina,1999,Maize,53702,591.0,17.71,591.0,17.15,62831.39
Argentina,1999,Maize,53702,591.0,17.71,591.0,17.71,62831.39
Argentina,2000,Maize,54329,591.0,16.98,591.0,16.98,63265.78
Argentina,2000,Maize,54329,591.0,16.98,591.0,17.66,63265.78
Argentina,2000,Maize,54329,591.0,17.66,591.0,16.98,63265.78
Argentina,2000,Maize,54329,591.0,17.66,591.0,17.66,63265.78
Argentina,2001,Maize,54553,591.0,17.71,591.0,17.71,63700.17
Argentina,2001,Maize,54553,591.0,17.71,591.0,18.42,63700.17
Argentina,2001,Maize,54553,591.0,18.42,591.0,17.71,63700.17
Argentina,2001,Maize,54553,591.0,18.42,591.0,18.42,63700.17
Argentina,2002,Maize,60791,591.0,17.58,591.0,17.58,64134.56
Argentina,2002,Maize,60791,591.0,17.58,591.0,18.07,64134.56
Argentina,2002,Maize,60791,591.0,18.07,591.0,17.58,64134.56
Argentina,2002,Maize,60791,591.0,18.07,591.0,18.07,64134.56
Argentina,2004,Maize,63931,591.0,17.67,591.0,17.67,65003.34
Argentina,2004,Maize,63931,591.0,17.67,591.0,18.11,65003.34
Argentina,2004,Maize,63931,591.0,18.11,591.0,17.67,65003.34
Argentina,2004,Maize,63931,591.0,18.11,591.0,18.11,65003.34
Argentina,2005,Maize,73587,591.0,17.32,591.0,17.32,65437.73
Argentina,2005,Maize,73587,591.0,17.32,591.0,17.83,65437.73
Argentina,2005,Maize,73587,591.0,17.83,591.0,17.32,65437.73
Argentina,2005,Maize,73587,591.0,17.83,591.0,17.83,65437.73
Argentina,2006,Maize,59030,591.0,18.1,591.0,18.1,65872.12
Argentina,2006,Maize,59030,591.0,18.1,591.0,18.35,65872.12
Argentina,2006,Maize,59030,591.0,18.35,591.0,18.1,65872.12
Argentina,2006,Maize,59030,591.0,18.35,591.0,18.35,65872.12
Argentina,2007,Maize,76655,591.0,16.71,591.0,16.71,81582.64
Argentina,2007,Maize,76655,591.0,16.71,591.0,17.14,81582.64
Argentina,2007,Maize,76655,591.0,17.14,591.0,16.71,81582.64
Argentina,2007,Maize,76655,591.0,17.14,591.0,17.14,81582.64
Argentina,2008,Maize,64525,591.0,17.71,591.0,17.71,87149.01
Argentina,2008,Maize,64525,591.0,17.71,591.0,18.39,87149.01
Argentina,2008,Maize,64525,591.0,18.39,591.0,17.71,87149.01
Argentina,2008,Maize,64525,591.0,18.39,591.0,18.39,87149.01
Argentina,2009,Maize,55760,591.0,18.16,591.0,18.16,61586.56
Argentina,2009,Maize,55760,591.0,18.16,591.0,18.09,61586.56
Argentina,2009,Maize,55760,591.0,18.09,591.0,18.16,61586.56
Argentina,2009,Maize,55760,591.0,18.09,591.0,18.09,61586.56
Argentina,2010,Maize,78040,591.0,17.33,591.0,17.33,105915.04
Argentina,2010,Maize,78040,591.0,17.33,591.0,17.84,105915.04
Argentina,2010,Maize,78040,591.0,17.84,591.0,17.33,105915.04
Argentina,2010,Maize,78040,591.0,17.84,591.0,17.84,105915.04
Argentina,2011,Maize,63503,591.0,17.58,591.0,17.58,100424.62
Argentina,2011,Maize,63503,591.0,17.58,591.0,17.93,100424.62
Argentina,2011,Maize,63503,591.0,17.93,591.0,17.58,100424.62
Argentina,2011,Maize,63503,591.0,17.93,591.0,17.93,100424.62
Argentina,2012,Maize,57346,591.0,18.18,591.0,18.18,136185.08
Argentina,2012,Maize,57346,591.0,18.18,591.0,18.43,136185.08
Argentina,2012,Maize,57346,591.0,18.43,591.0,18.18,136185.08
Argentina,2012,Maize,57346,591.0,18.43,591.0,18.43,136185.08
Argentina,2013,Maize,66037,591.0,16.45,591.0,16.45,171945.54
Argentina,2013,Maize,66037,591.0,16.45,591.0,16.88,171945.54
Argentina,2013,Maize,66037,591.0,16.88,591.0,16.45,171945.54
Argentina,2013,Maize,66037,591.0,16.88,591.0,16.88,171945.54
Armenia,1992,Maize,32344,562.0,7.44,562.0,7.44,8.0
Armenia,1993,Maize,32261,562.0,7.69,562.0,7.69,8.0
Armenia,1994,Maize,32667,562.0,8.84,562.0,8.84,23.0
Armenia,1995,Maize,18261,562.0,9.76,562.0,9.76,23.9
Armenia,1996,Maize,22239,562.0,9.55,562.0,9.55,32.0
Armenia,1997,Maize,45548,562.0,9.1,562.0,9.1,41.46
Armenia,1998,Maize,26082,562.0,10.28,562.0,10.28,50.92
Armenia,1999,Maize,40303,562.0,10.11,562.0,10.11,60.38
Armenia,2000,Maize,23178,562.0,9.68,562.0,9.68,69.85
Armenia,2001,Maize,37913,562.0,10.18,562.0,10.18,79.31
Armenia,2002,Maize,37380,562.0,9.41,562.0,9.41,88.77
Armenia,2004,Maize,61791,562.0,9.55,562.0,9.55,204.77
Armenia,2005,Maize,44692,562.0,9.58,562.0,9.58,220.51
Armenia,2006,Maize,33271,562.0,9.89,562.0,9.89,227.55
Armenia,2007,Maize,53262,562.0,9.44,562.0,9.44,241.71
Armenia,2008,Maize,53424,562.0,9.51,562.0,9.51,218.2
Armenia,2009,Maize,57763,562.0,9.67,562.0,9.67,198.36
Armenia,2010,Maize,46724,562.0,11.31,562.0,11.31,278.72
Armenia,2011,Maize,54257,562.0,8.93,562.0,8.93,278.72
Armenia,2012,Maize,62215,562.0,10.2,562.0,10.2,278.72
Armenia,2013,Maize,67114,562.0,11.08,562.0,11.08,278.72
Australia,1990,Maize,41821,534.0,16.8,534.0,16.8,17866.0
Australia,1990,Maize,41821,534.0,16.8,534.0,20.06,17866.0
Australia,1990,Maize,41821,534.0,16.8,534.0,12.11,17866.0
Australia,1990,Maize,41821,534.0,16.8,534.0,14.16,17866.0
Australia,1990,Maize,41821,534.0,16.8,534.0,18.05,17866.0
Australia,1990,Maize,41821,534.0,16.8,534.0,17.47,17866.0
Australia,1990,Maize,41821,534.0,20.06,534.0,16.8,17866.0
Australia,1990,Maize,41821,534.0,20.06,534.0,20.06,17866.0
Australia,1990,Maize,41821,534.0,20.06,534.0,12.11,17866.0
Australia,1990,Maize,41821,534.0,20.06,534.0,14.16,17866.0
Australia,1990,Maize,41821,534.0,20.06,534.0,18.05,17866.0
Australia,1990,Maize,41821,534.0,20.06,534.0,17.47,17866.0
Australia,1990,Maize,41821,534.0,12.11,534.0,16.8,17866.0
Australia,1990,Maize,41821,534.0,12.11,534.0,20.06,17866.0
Australia,1990,Maize,41821,534.0,12.11,534.0,12.11,17866.0
Australia,1990,Maize,41821,534.0,12.11,534.0,14.16,17866.0
Australia,1990,Maize,41821,534.0,12.11,534.0,18.05,17866.0
Australia,1990,Maize,41821,534.0,12.11,534.0,17.47,17866.0
Australia,1990,Maize,41821,534.0,14.16,534.0,16.8,17866.0
Australia,1990,Maize,41821,534.0,14.16,534.0,20.06,17866.0
Australia,1990,Maize,41821,534.0,14.16,534.0,12.11,17866.0
Australia,1990,Maize,41821,534.0,14.16,534.0,14.16,17866.0
Australia,1990,Maize,41821,534.0,14.16,534.0,18.05,17866.0
Australia,1990,Maize,41821,534.0,14.16,534.0,17.47,17866.0
Australia,1990,Maize,41821,534.0,18.05,534.0,16.8,17866.0
Australia,1990,Maize,41821,534.0,18.05,534.0,20.06,17866.0
Australia,1990,Maize,41821,534.0,18.05,534.0,12.11,17866.0
Australia,1990,Maize,41821,534.0,18.05,534.0,14.16,17866.0
Australia,1990,Maize,41821,534.0,18.05,534.0,18.05,17866.0
Australia,1990,Maize,41821,534.0,18.05,534.0,17.47,17866.0
Australia,1990,Maize,41821,534.0,17.47,534.0,16.8,17866.0
Australia,1990,Maize,41821,534.0,17.47,534.0,20.06,17866.0
Australia,1990,Maize,41821,534.0,17.47,534.0,12.11,17866.0
Australia,1990,Maize,41821,534.0,17.47,534.0,14.16,17866.0
Australia,1990,Maize,41821,534.0,17.47,534.0,18.05,17866.0
Australia,1990,Maize,41821,534.0,17.47,534.0,17.47,17866.0
Australia,1991,Maize,39938,534.0,16.78,534.0,16.78,17866.0
Australia,1991,Maize,39938,534.0,16.78,534.0,20.29,17866.0
Australia,1991,Maize,39938,534.0,16.78,534.0,12.22,17866.0
Australia,1991,Maize,39938,534.0,16.78,534.0,13.77,17866.0
Australia,1991,Maize,39938,534.0,16.78,534.0,18.73,17866.0
Australia,1991,Maize,39938,534.0,16.78,534.0,17.85,17866.0
Australia,1991,Maize,39938,534.0,20.29,534.0,16.78,17866.0
Australia,1991,Maize,39938,534.0,20.29,534.0,20.29,17866.0
Australia,1991,Maize,39938,534.0,20.29,534.0,12.22,17866.0
Australia,1991,Maize,39938,534.0,20.29,534.0,13.77,17866.0
Australia,1991,Maize,39938,534.0,20.29,534.0,18.73,17866.0
Australia,1991,Maize,39938,534.0,20.29,534.0,17.85,17866.0
Australia,1991,Maize,39938,534.0,12.22,534.0,16.78,17866.0
Australia,1991,Maize,39938,534.0,12.22,534.0,20.29,17866.0
Australia,1991,Maize,39938,534.0,12.22,534.0,12.22,17866.0
Australia,1991,Maize,39938,534.0,12.22,534.0,13.77,17866.0
Australia,1991,Maize,39938,534.0,12.22,534.0,18.73,17866.0
Australia,1991,Maize,39938,534.0,12.22,534.0,17.85,17866.0
Australia,1991,Maize,39938,534.0,13.77,534.0,16.78,17866.0
Australia,1991,Maize,39938,534.0,13.77,534.0,20.29,17866.0
Australia,1991,Maize,39938,534.0,13.77,534.0,12.22,17866.0
Australia,1991,Maize,39938,534.0,13.77,534.0,13.77,17866.0
Australia,1991,Maize,39938,534.0,13.77,534.0,18.73,17866.0
Australia,1991,Maize,39938,534.0,13.77,534.0,17.85,17866.0
Australia,1991,Maize,39938,534.0,18.73,534.0,16.78,17866.0
Australia,1991,Maize,39938,534.0,18.73,534.0,20.29,17866.0
Australia,1991,Maize,39938,534.0,18.73,534.0,12.22,17866.0
Australia,1991,Maize,39938,534.0,18.73,534.0,13.77,17866.0
Australia,1991,Maize,39938,534.0,18.73,534.0,18.73,17866.0
Australia,1991,Maize,39938,534.0,18.73,534.0,17.85,17866.0
Australia,1991,Maize,39938,534.0,17.85,534.0,16.78,17866.0
Australia,1991,Maize,39938,534.0,17.85,534.0,20.29,17866.0
Australia,1991,Maize,39938,534.0,17.85,534.0,12.22,17866.0
Australia,1991,Maize,39938,534.0,17.85,534.0,13.77,17866.0
Australia,1991,Maize,39938,534.0,17.85,534.0,18.73,17866.0
Australia,1991,Maize,39938,534.0,17.85,534.0,17.85,17866.0
Australia,1992,Maize,51721,534.0,15.78,534.0,15.78,22234.0
Australia,1992,Maize,51721,534.0,15.78,534.0,19.79,22234.0
Australia,1992,Maize,51721,534.0,15.78,534.0,11.21,22234.0
Australia,1992,Maize,51721,534.0,15.78,534.0,13.31,22234.0
Australia,1992,Maize,51721,534.0,15.78,534.0,18.45,22234.0
Australia,1992,Maize,51721,534.0,15.78,534.0,16.89,22234.0
Australia,1992,Maize,51721,534.0,19.79,534.0,15.78,22234.0
Australia,1992,Maize,51721,534.0,19.79,534.0,19.79,22234.0
Australia,1992,Maize,51721,534.0,19.79,534.0,11.21,22234.0
Australia,1992,Maize,51721,534.0,19.79,534.0,13.31,22234.0
Australia,1992,Maize,51721,534.0,19.79,534.0,18.45,22234.0
Australia,1992,Maize,51721,534.0,19.79,534.0,16.89,22234.0
Australia,1992,Maize,51721,534.0,11.21,534.0,15.78,22234.0
Australia,1992,Maize,51721,534.0,11.21,534.0,19.79,22234.0
Australia,1992,Maize,51721,534.0,11.21,534.0,11.21,22234.0
Australia,1992,Maize,51721,534.0,11.21,534.0,13.31,22234.0
Australia,1992,Maize,51721,534.0,11.21,534.0,18.45,22234.0
Australia,1992,Maize,51721,534.0,11.21,534.0,16.89,22234.0
Australia,1992,Maize,51721,534.0,13.31,534.0,15.78,22234.0
Australia,1992,Maize,51721,534.0,13.31,534.0,19.79,22234.0
Australia,1992,Maize,51721,534.0,13.31,534.0,11.21,22234.0
Australia,1992,Maize,51721,534.0,13.31,534.0,13.31,22234.0
Australia,1992,Maize,51721,534.0,13.31,534.0,18.45,22234.0
Australia,1992,Maize,51721,534.0,13.31,534.0,16.89,22234.0
Australia,1992,Maize,51721,534.0,18.45,534.0,15.78,22234.0
Australia,1992,Maize,51721,534.0,18.45,534.0,19.79,22234.0
Australia,1992,Maize,51721,534.0,18.45,534.0,11.21,22234.0
Australia,1992,Maize,51721,534.0,18.45,534.0,13.31,22234.0
Australia,1992,Maize,51721,534.0,18.45,534.0,18.45,22234.0
Australia,1992,Maize,51721,534.0,18.45,534.0,16.89,22234.0
Australia,1992,Maize,51721,534.0,16.89,534.0,15.78,22234.0
Australia,1992,Maize,51721,534.0,16.89,534.0,19.79,22234.0
Australia,1992,Maize,51721,534.0,16.89,534.0,11.21,22234.0
Australia,1992,Maize,51721,534.0,16.89,534.0,13.31,22234.0
Australia,1992,Maize,51721,534.0,16.89,534.0,18.45,22234.0
Australia,1992,Maize,51721,534.0,16.89,534.0,16.89,22234.0
Australia,1993,Maize,44261,534.0,16.71,534.0,16.71,23899.0
Australia,1993,Maize,44261,534.0,16.71,534.0,20.19,23899.0
Australia,1993,Maize,44261,534.0,16.71,534.0,11.84,23899.0
Australia,1993,Maize,44261,534.0,16.71,534.0,13.81,23899.0
Australia,1993,Maize,44261,534.0,16.71,534.0,18.03,23899.0
Australia,1993,Maize,44261,534.0,16.71,534.0,17.42,23899.0
Australia,1993,Maize,44261,534.0,20.19,534.0,16.71,23899.0
Australia,1993,Maize,44261,534.0,20.19,534.0,20.19,23899.0
Australia,1993,Maize,44261,534.0,20.19,534.0,11.84,23899.0
Australia,1993,Maize,44261,534.0,20.19,534.0,13.81,23899.0
Australia,1993,Maize,44261,534.0,20.19,534.0,18.03,23899.0
Australia,1993,Maize,44261,534.0,20.19,534.0,17.42,23899.0
Australia,1993,Maize,44261,534.0,11.84,534.0,16.71,23899.0
Australia,1993,Maize,44261,534.0,11.84,534.0,20.19,23899.0
Australia,1993,Maize,44261,534.0,11.84,534.0,11.84,23899.0
Australia,1993,Maize,44261,534.0,11.84,534.0,13.81,23899.0
Australia,1993,Maize,44261,534.0,11.84,534.0,18.03,23899.0
Australia,1993,Maize,44261,534.0,11.84,534.0,17.42,23899.0
Australia,1993,Maize,44261,534.0,13.81,534.0,16.71,23899.0
Australia,1993,Maize,44261,534.0,13.81,534.0,20.19,23899.0
Australia,1993,Maize,44261,534.0,13.81,534.0,11.84,23899.0
Australia,1993,Maize,44261,534.0,13.81,534.0,13.81,23899.0
Australia,1993,Maize,44261,534.0,13.81,534.0,18.03,23899.0
Australia,1993,Maize,44261,534.0,13.81,534.0,17.42,23899.0
Australia,1993,Maize,44261,534.0,18.03,534.0,16.71,23899.0
Australia,1993,Maize,44261,534.0,18.03,534.0,20.19,23899.0
Australia,1993,Maize,44261,534.0,18.03,534.0,11.84,23899.0
Australia,1993,Maize,44261,534.0,18.03,534.0,13.81,23899.0
Australia,1993,Maize,44261,534.0,18.03,534.0,18.03,23899.0
Australia,1993,Maize,44261,534.0,18.03,534.0,17.42,23899.0
Australia,1993,Maize,44261,534.0,17.42,534.0,16.71,23899.0
Australia,1993,Maize,44261,534.0,17.42,534.0,20.19,23899.0
Australia,1993,Maize,44261,534.0,17.42,534.0,11.84,23899.0
Australia,1993,Maize,44261,534.0,17.42,534.0,13.81,23899.0
Australia,1993,Maize,44261,534.0,17.42,534.0,18.03,23899.0
Australia,1993,Maize,44261,534.0,17.42,534.0,17.42,23899.0
Australia,1994,Maize,46620,534.0,16.43,534.0,16.43,21057.0
Australia,1994,Maize,46620,534.0,16.43,534.0,19.59,21057.0
Australia,1994,Maize,46620,534.0,16.43,534.0,11.6,21057.0
Australia,1994,Maize,46620,534.0,16.43,534.0,13.52,21057.0
Australia,1994,Maize,46620,534.0,16.43,534.0,19.17,21057.0
Australia,1994,Maize,46620,534.0,16.43,534.0,17.36,21057.0
Australia,1994,Maize,46620,534.0,19.59,534.0,16.43,21057.0
Australia,1994,Maize,46620,534.0,19.59,534.0,19.59,21057.0
Australia,1994,Maize,46620,534.0,19.59,534.0,11.6,21057.0
Australia,1994,Maize,46620,534.0,19.59,534.0,13.52,21057.0
Australia,1994,Maize,46620,534.0,19.59,534.0,19.17,21057.0
Australia,1994,Maize,46620,534.0,19.59,534.0,17.36,21057.0
Australia,1994,Maize,46620,534.0,11.6,534.0,16.43,21057.0
Australia,1994,Maize,46620,534.0,11.6,534.0,19.59,21057.0
Australia,1994,Maize,46620,534.0,11.6,534.0,11.6,21057.0
Australia,1994,Maize,46620,534.0,11.6,534.0,13.52,21057.0
Australia,1994,Maize,46620,534.0,11.6,534.0,19.17,21057.0
Australia,1994,Maize,46620,534.0,11.6,534.0,17.36,21057.0
Australia,1994,Maize,46620,534.0,13.52,534.0,16.43,21057.0
Australia,1994,Maize,46620,534.0,13.52,534.0,19.59,21057.0
Australia,1994,Maize,46620,534.0,13.52,534.0,11.6,21057.0
Australia,1994,Maize,46620,534.0,13.52,534.0,13.52,21057.0
Australia,1994,Maize,46620,534.0,13.52,534.0,19.17,21057.0
Australia,1994,Maize,46620,534.0,13.52,534.0,17.36,21057.0
Australia,1994,Maize,46620,534.0,19.17,534.0,16.43,21057.0
Australia,1994,Maize,46620,534.0,19.17,534.0,19.59,21057.0
Australia,1994,Maize,46620,534.0,19.17,534.0,11.6,21057.0
Australia,1994,Maize,46620,534.0,19.17,534.0,13.52,21057.0
Australia,1994,Maize,46620,534.0,19.17,534.0,19.17,21057.0
Australia,1994,Maize,46620,534.0,19.17,534.0,17.36,21057.0
Australia,1994,Maize,46620,534.0,17.36,534.0,16.43,21057.0
Australia,1994,Maize,46620,534.0,17.36,534.0,19.59,21057.0
Australia,1994,Maize,46620,534.0,17.36,534.0,11.6,21057.0
Australia,1994,Maize,46620,534.0,17.36,534.0,13.52,21057.0
Australia,1994,Maize,46620,534.0,17.36,534.0,19.17,21057.0
Australia,1994,Maize,46620,534.0,17.36,534.0,17.36,21057.0
Australia,1995,Maize,48263,534.0,16.14,534.0,16.14,25598.0
Australia,1995,Maize,48263,534.0,16.14,534.0,20.12,25598.0
Australia,1995,Maize,48263,534.0,16.14,534.0,11.39,25598.0
Australia,1995,Maize,48263,534.0,16.14,534.0,13.14,25598.0
Australia,1995,Maize,48263,534.0,16.14,534.0,18.88,25598.0
Australia,1995,Maize,48263,534.0,16.14,534.0,16.95,25598.0
Australia,1995,Maize,48263,534.0,20.12,534.0,16.14,25598.0
Australia,1995,Maize,48263,534.0,20.12,534.0,20.12,25598.0
Australia,1995,Maize,48263,534.0,20.12,534.0,11.39,25598.0
Australia,1995,Maize,48263,534.0,20.12,534.0,13.14,25598.0
Australia,1995,Maize,48263,534.0,20.12,534.0,18.88,25598.0
Australia,1995,Maize,48263,534.0,20.12,534.0,16.95,25598.0
Australia,1995,Maize,48263,534.0,11.39,534.0,16.14,25598.0
Australia,1995,Maize,48263,534.0,11.39,534.0,20.12,25598.0
Australia,1995,Maize,48263,534.0,11.39,534.0,11.39,25598.0
Australia,1995,Maize,48263,534.0,11.39,534.0,13.14,25598.0
Australia,1995,Maize,48263,534.0,11.39,534.0,18.88,25598.0
Australia,1995,Maize,48263,534.0,11.39,534.0,16.95,25598.0
Australia,1995,Maize,48263,534.0,13.14,534.0,16.14,25598.0
Australia,1995,Maize,48263,534.0,13.14,534.0,20.12,25598.0
Australia,1995,Maize,48263,534.0,13.14,534.0,11.39,25598.0
Australia,1995,Maize,48263,534.0,13.14,534.0,13.14,25598.0
Australia,1995,Maize,48263,534.0,13.14,534.0,18.88,25598.0
Australia,1995,Maize,48263,534.0,13.14,534.0,16.95,25598.0
Australia,1995,Maize,48263,534.0,18.88,534.0,16.14,25598.0
Australia,1995,Maize,48263,534.0,18.88,534.0,20.12,25598.0
Australia,1995,Maize,48263,534.0,18.88,534.0,11.39,25598.0
Australia,1995,Maize,48263,534.0,18.88,534.0,13.14,25598.0
Australia,1995,Maize,48263,534.0,18.88,534.0,18.88,25598.0
Australia,1995,Maize,48263,534.0,18.88,534.0,16.95,25598.0
